Ник:1:2:3:4:5:6:7:8:9:10
Angel Martinez:5:3:4:9:3:4:3:2:6:7
Catherine Paul:1:1:10:8:6:1:8:2:2:1
Jeremy Morrison:4:0:4:9:4:8:8:2:7:10
Mr. Jeffrey Perez:7:10:2:4:6:9:1:10:1:8
Megan Nichols:2:4:7:6:4:6:0:2:7:9
Tyler Mullins:3:1:9:2:0:3:4:10:1:0
Carla Rhodes:7:0:10:4:1:10:1:5:6:10
Jessica Black:6:0:5:5:8:2:2:0:4:5
Amanda Allen:8:5:4:4:7:3:1:8:8:4
Anna Stephens:2:10:4:0:9:0:6:3:9:5
Krystal Strickland:5:8:6:6:1:8:4:3:9:0
Candace Chapman:2:2:3:4:8:6:4:4:0:10
Tyler Arnold:6:9:6:7:3:10:10:9:5:7
Erica Payne:9:9:4:5:7:8:2:7:2:4
Jared Richardson:3:6:1:9:3:9:5:3:7:7
Stephanie Gregory:2:7:5:2:3:9:3:6:4:3
Robert Jackson:0:9:2:6:10:1:6:7:8:7
Randall Williams:2:1:3:2:7:4:10:7:0:1
Shelby Deleon:7:9:3:3:6:1:9:9:3:7
Shelly Cook:6:8:5:8:5:6:10:9:1:5
Heather Vaughan:6:4:6:3:2:10:5:3:6:3
Anthony Mcdaniel:10:3:0:7:7:2:4:10:3:10
Ryan Rogers:2:10:6:6:3:7:2:7:5:1
Michael Gray:10:3:10:5:4:2:6:6:8:7
Maureen Golden:5:1:5:10:1:1:6:4:2:1
Matthew Barrett:4:4:8:7:5:7:9:3:5:4
Joshua Davis:3:0:1:7:7:7:7:10:9:9
Gabriel Jenkins:6:4:5:3:10:5:1:9:6:2
Steven Armstrong:2:7:7:3:3:10:7:7:2:10
Jonathan Macias III:4:10:9:3:8:0:6:9:10:0
Jasmine Hudson:7:2:2:8:4:10:7:0:6:9
Jacqueline Roy DVM:3:9:9:8:10:5:3:10:0:8
Nicholas Carter:5:4:8:3:3:2:4:9:9:1
Ryan Maldonado:10:5:3:1:5:5:8:1:8:6
Rebekah Washington:2:5:4:2:8:4:5:2:10:7
John Finley:10:7:5:3:2:8:10:8:1:1
Adam Peterson:4:8:0:8:10:6:7:9:3:8
Karen Carter:1:1:4:4:3:4:7:1:7:10
Jennifer Silva:5:10:3:1:3:4:1:0:5:7
Melissa Dillon:10:0:2:0:5:5:2:0:9:8
Shaun Keller II:0:4:6:9:7:5:7:0:10:7
Ronnie Butler:9:0:4:10:10:9:2:0:0:5
Jim Pugh:5:9:1:10:9:4:9:2:8:1
Bryce Clayton:10:10:2:9:8:0:0:6:10:4
Christine Wilson:8:4:10:9:1:1:4:5:6:10
Joshua Nichols:6:3:3:10:1:9:8:4:7:10
Amanda Peterson:9:2:1:2:9:10:1:4:0:6
Elizabeth French:0:6:9:10:9:4:0:2:5:2
Dr. Stacey Morgan DVM:4:0:3:9:6:6:2:8:10:4
Cheryl Butler:2:7:6:1:5:5:9:0:5:0
Troy Clayton:8:2:8:7:1:0:3:8:7:3
Alicia Riley:9:3:6:0:1:5:9:6:8:3
Elizabeth Johnson:8:9:9:1:4:6:0:6:10:0
Ashley Dunn:0:5:2:9:0:6:5:5:0:3
Samantha Marshall:6:4:6:9:5:1:9:1:8:1
Tonya Flores:4:0:2:0:2:10:2:10:5:3
Juan Parks:7:0:3:1:1:10:7:4:9:3
Ashley Brown:7:0:3:4:1:6:1:9:5:10
Richard Lopez:3:1:1:4:7:3:6:9:7:0
Krystal Brown:6:10:9:0:10:7:2:5:4:1
Kyle Harvey:4:3:8:2:1:1:10:5:6:2
Scott Shaw:2:5:3:6:8:4:8:10:2:8
David Weaver:9:2:3:6:6:5:8:1:10:8
Edward Miller:0:8:4:9:6:0:9:6:2:3
Dawn Robinson:6:7:1:9:9:8:3:2:3:2
Sandra Taylor:7:5:0:2:1:5:10:3:8:1
