Ник:1:2:3:4:5:6:7:8:9:10:Regrator
Angel Martinez:5:3:4:9:3:4:3:2:6:7:4.0
Catherine Paul:1:1:10:8:6:1:8:2:2:1:4.0
Jeremy Morrison:4:0:4:9:4:8:8:2:7:10:4.0
Mr. Jeffrey Perez:7:10:2:4:6:9:1:10:1:8:4.0
Megan Nichols:2:4:7:6:4:6:0:2:7:9:4.0
Tyler Mullins:3:1:9:2:0:3:4:10:1:0:4.0
Carla Rhodes:7:0:10:4:1:10:1:5:6:10:3.0
Jessica Black:6:0:5:5:8:2:2:0:4:5:4.0
Amanda Allen:8:5:4:4:7:3:1:8:8:4:4.0
Anna Stephens:2:10:4:0:9:0:6:3:9:5:4.0
Krystal Strickland:5:8:6:6:1:8:4:3:9:0:2.0
Candace Chapman:2:2:3:4:8:6:4:4:0:10:4.0
Tyler Arnold:6:9:6:7:3:10:10:9:5:7:3.0
Erica Payne:9:9:4:5:7:8:2:7:2:4:1.0
Jared Richardson:3:6:1:9:3:9:5:3:7:7:4.0
Stephanie Gregory:2:7:5:2:3:9:3:6:4:3:4.0
Robert Jackson:0:9:2:6:10:1:6:7:8:7:3.0
Randall Williams:2:1:3:2:7:4:10:7:0:1:4.0
Shelby Deleon:7:9:3:3:6:1:9:9:3:7:4.0
Shelly Cook:6:8:5:8:5:6:10:9:1:5:2.0
Heather Vaughan:6:4:6:3:2:10:5:3:6:3:2.0
Anthony Mcdaniel:10:3:0:7:7:2:4:10:3:10:4.0
Ryan Rogers:2:10:6:6:3:7:2:7:5:1:4.0
Michael Gray:10:3:10:5:4:2:6:6:8:7:3.0
Maureen Golden:5:1:5:10:1:1:6:4:2:1:4.0
Matthew Barrett:4:4:8:7:5:7:9:3:5:4:4.0
Joshua Davis:3:0:1:7:7:7:7:10:9:9:3.0
Gabriel Jenkins:6:4:5:3:10:5:1:9:6:2:2.0
Steven Armstrong:2:7:7:3:3:10:7:7:2:10:4.0
Jonathan Macias III:4:10:9:3:8:0:6:9:10:0:4.0
Jasmine Hudson:7:2:2:8:4:10:7:0:6:9:4.0
Jacqueline Roy DVM:3:9:9:8:10:5:3:10:0:8:1.0
Nicholas Carter:5:4:8:3:3:2:4:9:9:1:4.0
Ryan Maldonado:10:5:3:1:5:5:8:1:8:6:4.0
Rebekah Washington:2:5:4:2:8:4:5:2:10:7:4.0
John Finley:10:7:5:3:2:8:10:8:1:1:2.0
Adam Peterson:4:8:0:8:10:6:7:9:3:8:1.0
Karen Carter:1:1:4:4:3:4:7:1:7:10:4.0
Jennifer Silva:5:10:3:1:3:4:1:0:5:7:4.0
Melissa Dillon:10:0:2:0:5:5:2:0:9:8:4.0
Shaun Keller II:0:4:6:9:7:5:7:0:10:7:4.0
Ronnie Butler:9:0:4:10:10:9:2:0:0:5:4.0
Jim Pugh:5:9:1:10:9:4:9:2:8:1:1.0
Bryce Clayton:10:10:2:9:8:0:0:6:10:4:1.0
Christine Wilson:8:4:10:9:1:1:4:5:6:10:3.0
Joshua Nichols:6:3:3:10:1:9:8:4:7:10:4.0
Amanda Peterson:9:2:1:2:9:10:1:4:0:6:4.0
Elizabeth French:0:6:9:10:9:4:0:2:5:2:1.0
Dr. Stacey Morgan DVM:4:0:3:9:6:6:2:8:10:4:4.0
Cheryl Butler:2:7:6:1:5:5:9:0:5:0:4.0
Troy Clayton:8:2:8:7:1:0:3:8:7:3:4.0
Alicia Riley:9:3:6:0:1:5:9:6:8:3:2.0
Elizabeth Johnson:8:9:9:1:4:6:0:6:10:0:2.0
Ashley Dunn:0:5:2:9:0:6:5:5:0:3:4.0
Samantha Marshall:6:4:6:9:5:1:9:1:8:1:4.0
Tonya Flores:4:0:2:0:2:10:2:10:5:3:4.0
Juan Parks:7:0:3:1:1:10:7:4:9:3:4.0
Ashley Brown:7:0:3:4:1:6:1:9:5:10:3.0
Richard Lopez:3:1:1:4:7:3:6:9:7:0:4.0
Krystal Brown:6:10:9:0:10:7:2:5:4:1:2.0
Kyle Harvey:4:3:8:2:1:1:10:5:6:2:4.0
Scott Shaw:2:5:3:6:8:4:8:10:2:8:1.0
David Weaver:9:2:3:6:6:5:8:1:10:8:4.0
Edward Miller:0:8:4:9:6:0:9:6:2:3:1.0
Dawn Robinson:6:7:1:9:9:8:3:2:3:2:1.0
Sandra Taylor:7:5:0:2:1:5:10:3:8:1:4.0
Donna Harris:10:4:10:7:6:8:10:4:10:3:2.0
David Cruz:7:8:7:8:4:7:3:4:10:1:2.0
Emily Hunt:5:6:5:5:6:10:3:9:8:2:2.0
Phillip Shaffer:3:6:0:4:10:1:1:7:8:8:3.0
Matthew Gomez:0:1:9:0:4:10:8:3:9:1:4.0
Dr. Ashley Joyce:6:4:6:8:0:5:7:10:6:1:2.0
Cynthia Solomon:6:1:9:0:5:0:4:8:4:2:4.0
Penny Moore:6:8:5:7:0:7:6:8:9:5:3.0
Mr. Brendan Young:3:9:9:3:7:0:3:5:4:9:4.0
Sarah Green:1:1:10:1:4:7:10:9:4:10:4.0
Mr. Matthew Coleman II:7:2:0:3:0:4:5:8:8:6:3.0
Debra Davis:3:4:0:5:4:1:3:9:9:5:3.0
Richard Lee:6:8:6:10:1:5:5:10:2:0:2.0
